"name","wikidata","commons","website","image","link_commons","link_de","link_en","link_fr","link_count","long","lat","timestamp"
"Johann Jacobs Museum","Q27490245","Johann Jacobs Museum","http://www.johannjacobs.com","http://commons.wikimedia.org/wiki/Special:FilePath/Johann%20Jacobs%20Museum%20Z%C3%BCrich.jpg","https://commons.wikimedia.org/wiki/Category:Johann_Jacobs_Museum","https://de.wikipedia.org/wiki/Johann_Jacobs_Museum",,,7,"8.54808","47.3597",2020-01-13 11:52:05
"Museum Bellerive","Q27490261","Museum Bellerive","http://www.museum-bellerive.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Bellerive%20-%20Seefeldquai%202013-04-01%2017-28-00%20ShiftN.jpg","https://commons.wikimedia.org/wiki/Category:Museum_Bellerive","https://de.wikipedia.org/wiki/Museum_Bellerive",,,8,"8.55","47.35647",2020-01-13 11:52:05
"Radgenossenschaft der Landstrasse","Q27490285",,"http://www.radgenossenschaft.ch/dokumentationszentrum.htm",,,,,,1,"8.4745541","47.3941765",2020-01-13 11:52:05
"Thomas Mann Archives","Q27490316",,"http://www.tma.ethz.ch",,,,,,11,"8.54894","47.3739",2020-01-13 11:52:05
"Uhrenmuseum Beyer","Q27490319","Uhrenmuseum Beyer","http://www.beyer-ch.com","http://commons.wikimedia.org/wiki/Special:FilePath/Pendule%20Sympathique.jpg","https://commons.wikimedia.org/wiki/Category:Uhrenmuseum_Beyer",,,,5,"8.53848","47.37083",2020-01-13 11:52:05
"Phonogram Archives of the University of Zurich","Q27490323",,"https://www.phonogrammarchiv.uzh.ch",,"gsw","https://de.wikipedia.org/wiki/Phonogrammarchiv_der_Universit%C3%A4t_Z%C3%BCrich",,,3,"8.5488834","47.3745956",2020-01-13 11:52:05
"Basel Historical Museum – Musikmuseum","Q2749161","Musikmuseum, Basel","https://www.musikmuseum.ch/","http://commons.wikimedia.org/wiki/Special:FilePath/Basel%202012-09-28%20Mattes%20%28129%29.JPG","es","https://commons.wikimedia.org/wiki/Category:Musikmuseum,_Basel","https://en.wikipedia.org/wiki/Music_Museum_(Basel)","https://fr.wikipedia.org/wiki/Mus%C3%A9e_de_la_Musique_(B%C3%A2le)",0,"7.58805556","47.55472222",2020-01-13 11:52:05
"Schatzkammer Liechtenstein","Q27926228",,,"http://commons.wikimedia.org/wiki/Special:FilePath/Engl%C3%A4nderbau.jpg","https://commons.wikimedia.org/wiki/Category:Liechtenstein_Treasure_Chamber","https://de.wikipedia.org/wiki/Schatzkammer_Liechtenstein",,,6,"9.522777777","47.138888888",2020-01-13 11:52:05
"Musée cartographique","Q28081481",,,,"https://fr.wikipedia.org/wiki/Mus%C3%A9e_cartographique",,,,0,"6.1453","46.1989",2020-01-13 11:52:05
"Alimentarium","Q2836938","Alimentarium, Vevey","http://www.alimentarium.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Alimentarium%20interior.jpg","https://commons.wikimedia.org/wiki/Category:Alimentarium,_Vevey","https://fr.wikipedia.org/wiki/Alimentarium",,,8,"6.84646","46.45837",2020-01-13 11:52:05
"MuDA","Q28449178",,"http://muda.co",,"https://de.wikipedia.org/wiki/Museum_of_Digital_Art_(Z%C3%BCrich)","https://en.wikipedia.org/wiki/MuDA",,,1,"8.50888889","47.39",2020-01-13 11:52:05
"EPFL Physics Museum","Q28680775","EPFL Physics Museum","http://museephysique.epfl.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Cubotron-Luminance%20pregamma%201%20mantiuk08%20auto%20luminancecolorsaturation%201.46%20contrastenhancement%203.31.jpg","https://commons.wikimedia.org/wiki/Category:EPFL_Physics_Museum",,,,5,"6.5656","46.5203",2020-01-13 11:52:05
"Queen: The Studio Experience","Q28927290","Montreux Queen Studio Experience",,"http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Montreux4.jpg","https://commons.wikimedia.org/wiki/Category:Montreux_Queen_Studio_Experience","https://en.wikipedia.org/wiki/Queen:_The_Studio_Experience","nl",,10,"6.911841","46.429701",2020-01-13 11:52:05
